order_id,customer_id,delivery_pincode,_true_risk_affinity,_true_pincode_base_rate,is_returned
ORD504133,CUST101875,560024,0.20866604375382167,0.08499988471741125,0
ORD503820,CUST100297,560059,0.46818673352621776,0.06343485879816538,0
ORD503580,CUST101215,560060,0.04373699234051615,0.148778104232636,0
ORD504992,CUST100835,560062,0.33694071508209505,0.36167936673581547,1
ORD502203,CUST100898,560038,0.3575549854513887,0.4922123466288645,0
ORD501555,CUST101237,560030,0.39578552080530405,0.07698134180032012,0
ORD505516,CUST100360,560065,0.5777434668907969,0.12481245587380058,1
ORD500405,CUST100047,560046,0.5115239173587337,0.30307755392063607,1
ORD500494,CUST100103,560116,0.22105476487542694,0.21263077921125112,0
ORD501858,CUST101916,560065,0.24230976527158388,0.12481245587380058,0
ORD507267,CUST101509,560015,0.06243964797763099,0.2930958901877522,0
ORD504603,CUST101969,560052,0.3615433730343218,0.10086571587923499,0
ORD504411,CUST101892,560092,0.22566982488398443,0.4652541447815074,0
ORD502225,CUST101521,560076,0.3852828551120699,0.1112464586243946,0
ORD502584,CUST101543,560102,0.4487444125680534,0.3116574064541478,0
ORD506807,CUST100274,560104,0.11488476521704623,0.1241972485306535,0
ORD506962,CUST101541,560067,0.14437126701762237,0.2626412720928802,1
ORD502304,CUST100222,560027,0.3666490656306323,0.3964081708913591,1
ORD502961,CUST100119,560099,0.3007027884503935,0.15847855826528787,0
ORD503598,CUST100872,560082,0.3932300760602047,0.4036521734896382,1
ORD505453,CUST100102,560014,0.14594410347412967,0.32405610103166854,0
ORD502107,CUST101062,560078,0.41201621260086296,0.14596790446960203,1
ORD504306,CUST101160,560067,0.15017886247881426,0.2626412720928802,0
ORD505513,CUST101390,560020,0.08909689827440144,0.2587614293950907,0
ORD502111,CUST101209,560009,0.01997628607250876,0.26522522319557623,0
ORD505128,CUST100962,560026,0.26922230243613665,0.06415183632714254,0
ORD507129,CUST100390,560014,0.35614412579298554,0.32405610103166854,1
